query,document_id,document_text,model,similarity,confidence_level,timestamp
nose wheel replacement,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MINILM,-0.0236,🔴 Weak Match,2025-07-27T21:14:43.152807
nose wheel replacement,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MPNET,0.0289,🔴 Weak Match,2025-07-27T21:14:43.152807
nose wheel replacement,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MINILM,0.6768,🟢 Strong Match,2025-07-27T21:14:43.152807
nose wheel replacement,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MPNET,0.6645,🟢 Strong Match,2025-07-27T21:14:43.152807
nose wheel replacement,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MINILM,0.1479,🔴 Weak Match,2025-07-27T21:14:43.152807
nose wheel replacement,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MPNET,0.2242,🔴 Weak Match,2025-07-27T21:14:43.152807
nose wheel replacement,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MINILM,0.178,🔴 Weak Match,2025-07-27T21:14:43.152807
nose wheel replacement,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MPNET,0.2435,🔴 Weak Match,2025-07-27T21:14:43.152807
nose wheel replacement,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MINILM,0.1411,🔴 Weak Match,2025-07-27T21:14:43.152807
nose wheel replacement,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MPNET,0.1589,🔴 Weak Match,2025-07-27T21:14:43.152807
speaker potentiometer fault,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MINILM,0.2041,🔴 Weak Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MPNET,0.1712,🔴 Weak Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MINILM,0.0894,🔴 Weak Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MPNET,0.1231,🔴 Weak Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MINILM,0.6591,🟢 Strong Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MPNET,0.8106,🟢 Strong Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MINILM,0.4168,🟡 Good Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,4,CONFIRMED LOUDSPEAKER FUNCTION U/S. C/F FOR SPARES IAW MEL 23-51-04A,MPNET,0.4393,🔴 Weak Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MINILM,0.0866,🔴 Weak Match,2025-07-27T21:14:43.402634
speaker potentiometer fault,5,LANDING GEAR EXTENSION CHECK COMPLETED. ALL SYSTEMS OPERATIONAL.,MPNET,0.0722,🔴 Weak Match,2025-07-27T21:14:43.402634
FCU reset procedure,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MINILM,0.5803,🟡 Good Match,2025-07-27T21:14:43.681781
FCU reset procedure,1,ON DESCENT ( EI-724) AUTO FLT FCU 1 FAULT. QRH RESET CARRIED OUT-IN FLIGHT. RESET SUCCESSFUL.,MPNET,0.5673,🟡 Good Match,2025-07-27T21:14:43.681781
FCU reset procedure,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MINILM,0.0623,🔴 Weak Match,2025-07-27T21:14:43.681781
FCU reset procedure,2,ENG ENTRY #1 NOSE WHEEL WORN TO LIMITS,MPNET,0.0661,🔴 Weak Match,2025-07-27T21:14:43.681781
FCU reset procedure,3,POTENTIOMETER REPLACED AND SPEAKER TESTED SERVICEABLE. AIPC 23-51-08 REV 5/25 REFERS.,MINILM,0.1375,🔴 Weak Match,2025-07-27T21:14:43.681781
