query,model,rank,document_id,similarity,confidence_level
nose wheel replacement,MINILM,1,2,0.6196,🟢 Strong Match
nose wheel replacement,MINILM,2,4,0.1384,🔴 Weak Match
nose wheel replacement,MINILM,3,5,0.134,🔴 Weak Match
nose wheel replacement,MINILM,4,3,0.0775,🔴 Weak Match
nose wheel replacement,MINILM,5,1,-0.0082,🔴 Weak Match
nose wheel replacement,MPNET,1,2,0.7176,🟢 Strong Match
nose wheel replacement,MPNET,2,4,0.2105,🔴 Weak Match
nose wheel replacement,MPNET,3,3,0.1997,🔴 Weak Match
nose wheel replacement,MPNET,4,5,0.1755,🔴 Weak Match
nose wheel replacement,MPNET,5,1,0.0736,🔴 Weak Match
speaker potentiometer fault,MINILM,1,3,0.6486,🟢 Strong Match
speaker potentiometer fault,MINILM,2,4,0.3593,🔴 Weak Match
speaker potentiometer fault,MINILM,3,1,0.1949,🔴 Weak Match
speaker potentiometer fault,MINILM,4,2,0.0721,🔴 Weak Match
speaker potentiometer fault,MINILM,5,5,0.0431,🔴 Weak Match
speaker potentiometer fault,MPNET,1,3,0.7088,🟢 Strong Match
speaker potentiometer fault,MPNET,2,4,0.5284,🟡 Good Match
speaker potentiometer fault,MPNET,3,2,0.2326,🔴 Weak Match
speaker potentiometer fault,MPNET,4,1,0.1824,🔴 Weak Match
speaker potentiometer fault,MPNET,5,5,0.1162,🔴 Weak Match
FCU reset procedure,MINILM,1,1,0.5648,🟡 Good Match
FCU reset procedure,MINILM,2,4,0.229,🔴 Weak Match
FCU reset procedure,MINILM,3,5,0.21,🔴 Weak Match
FCU reset procedure,MINILM,4,2,0.1436,🔴 Weak Match
FCU reset procedure,MINILM,5,3,0.0726,🔴 Weak Match
FCU reset procedure,MPNET,1,1,0.5694,🟡 Good Match
FCU reset procedure,MPNET,2,5,0.194,🔴 Weak Match
FCU reset procedure,MPNET,3,2,0.1662,🔴 Weak Match
FCU reset procedure,MPNET,4,4,0.1651,🔴 Weak Match
FCU reset procedure,MPNET,5,3,0.0822,🔴 Weak Match
loudspeaker malfunction,MINILM,1,3,0.6363,🟢 Strong Match
loudspeaker malfunction,MINILM,2,4,0.4596,🟡 Good Match
loudspeaker malfunction,MINILM,3,1,0.1293,🔴 Weak Match
loudspeaker malfunction,MINILM,4,2,0.0446,🔴 Weak Match
loudspeaker malfunction,MINILM,5,5,0.0018,🔴 Weak Match
loudspeaker malfunction,MPNET,1,3,0.7341,🟢 Strong Match
loudspeaker malfunction,MPNET,2,4,0.6899,🟢 Strong Match
loudspeaker malfunction,MPNET,3,2,0.2042,🔴 Weak Match
loudspeaker malfunction,MPNET,4,1,0.2002,🔴 Weak Match
loudspeaker malfunction,MPNET,5,5,0.1441,🔴 Weak Match
landing gear extension,MINILM,1,5,0.6695,🟢 Strong Match
landing gear extension,MINILM,2,2,0.2446,🔴 Weak Match
landing gear extension,MINILM,3,4,0.1538,🔴 Weak Match
landing gear extension,MINILM,4,1,0.1213,🔴 Weak Match
landing gear extension,MINILM,5,3,0.0046,🔴 Weak Match
landing gear extension,MPNET,1,5,0.5392,🟡 Good Match
landing gear extension,MPNET,2,2,0.2386,🔴 Weak Match
landing gear extension,MPNET,3,1,0.0866,🔴 Weak Match
landing gear extension,MPNET,4,4,0.0359,🔴 Weak Match
landing gear extension,MPNET,5,3,-0.0133,🔴 Weak Match
engine oil pressure,MINILM,1,5,0.0064,🔴 Weak Match
engine oil pressure,MINILM,2,2,-0.0004,🔴 Weak Match
engine oil pressure,MINILM,3,1,-0.0029,🔴 Weak Match
engine oil pressure,MINILM,4,3,-0.0163,🔴 Weak Match
engine oil pressure,MINILM,5,4,-0.0419,🔴 Weak Match
engine oil pressure,MPNET,1,2,0.2207,🔴 Weak Match
engine oil pressure,MPNET,2,3,0.1239,🔴 Weak Match
engine oil pressure,MPNET,3,5,0.1065,🔴 Weak Match
engine oil pressure,MPNET,4,1,0.0672,🔴 Weak Match
engine oil pressure,MPNET,5,4,0.0601,🔴 Weak Match
